#OTU ID,s2_Stn1Cast14110m02um,s2_Stn1Cast14110m22um,s2_Stn1Cast14110m2um,s4_Stn1Cast1470m02um,s4_Stn1Cast1470m22um,s4_Stn1Cast1470m2um,s5_Stn1Cast1840m02um,s5_Stn1Cast1840m22um,s5_Stn1Cast1840m2um,s1_Stn1Cast6120m02um,s1_Stn1Cast6120m22um,s1_Stn1Cast6120m2um,s3_Stn1Cast683m02um,s3_Stn1Cast683m22um,s3_Stn1Cast683m2um,s4_Stn2Cast3190m02um,s4_Stn2Cast3190m22um,s4_Stn2Cast3190m2um,s3_Stn2Cast47113m02um,s3_Stn2Cast47113m22um,s3_Stn2Cast47113m2um,s2_Stn2Cast55120m02um,s2_Stn2Cast55120m22um,s2_Stn2Cast55120m2um,s5_Stn2Cast5930m02um,s5_Stn2Cast5930m22um,s5_Stn2Cast5930m2um,s1_Stn2Cast59900m02um,s1_Stn2Cast59900m22um,s1_Stn2Cast59900m2um,s3_Stn3Cast7245m02um,s3_Stn3Cast7245m22um,s3_Stn3Cast7245m2um,s5_Stn3Cast7633m02um,s5_Stn3Cast7633m22um,s5_Stn3Cast7633m2um,s1_Stn3Cast811000m02um,s1_Stn3Cast811000m22um,s1_Stn3Cast811000m2um,s6_Stn3Cast9310m02um,s6_Stn3Cast9310m22um,s6_Stn3Cast9310m2um,s2_Stn3Cast9370m02um,s2_Stn3Cast9370m22um,s2_Stn3Cast9370m2um,s4_Stn3Cast9740m02um,s4_Stn3Cast9740m22um,s4_Stn3Cast9740m2um
Zotu10,46,5,17,1347,308,334,3306,15,758,78,0,4,360,2,9,610,70,41,352,0,1,44,7,53,3563,746,2233,13,0,3,590,40,17,1654,103,30,29,0,37,2698,1356,3461,7,0,8,1229,378,28
Zotu100,38,2,13,176,69,79,1,0,2,21,0,14,247,3,11,344,21,24,224,0,0,3,0,11,0,0,2,0,0,0,432,122,32,551,32,18,3,0,1,10,6,3,2,0,7,440,168,6
Zotu1000,101,0,37,0,0,0,0,0,0,54,0,41,3,0,0,0,0,0,10,0,0,7,4,5,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Zotu1001,2,9,1,36,21,23,0,0,0,22,0,16,11,0,4,33,1,0,4,0,0,0,1,0,0,0,0,0,0,0,14,0,0,27,1,0,0,0,0,0,0,0,0,0,0,3,6,0
Zotu1002,0,0,0,2,0,0,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,43,135,0,0,0,0,0,0,0,0,0,0,0,0,72,11,101,0,0,0,0,0,0
Zotu1003,4,0,0,5,1,0,0,0,0,5,0,3,3,0,0,1,3,2,0,0,0,0,0,0,0,0,0,7,0,1,0,11,0,27,0,0,21,2,7,3,0,0,0,0,0,52,20,0
Zotu1004,56,0,22,1,0,0,0,0,0,66,0,82,0,0,0,0,0,0,2,0,0,10,1,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu1005,33,28,35,3,2,1,0,0,0,0,0,0,74,8,0,0,0,0,8,0,0,0,5,12,0,0,0,0,0,0,5,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1006,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,63,4,0,0,4,0,0,0,0,0,0,2,48,0
Zotu1007,0,0,0,3,17,6,0,0,1,3,0,0,0,0,0,2,29,0,0,2,0,0,0,0,0,12,0,0,0,0,0,17,0,9,76,0,0,0,1,1,0,0,12,0,4,2,24,0
Zotu1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,74,45,0,0,0,0,0,0,6,0,0,2,3,4,18,23,14,0,0,0,3,3,0
Zotu101,0,4,0,0,21,15,5,11,233,0,0,0,2,1,0,0,59,4,0,0,0,0,14,5,106,266,1069,0,0,0,0,4,0,0,12,2,0,0,0,103,500,1432,13,0,0,0,49,0
Zotu1010,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,38,50,0,0,0,0,0,0,0,0,0,0,0,0,4,17,70,0,0,0,0,0,0
Zotu1011,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,51,0,0,0,0,0,0,0,0,0,0,0,0,0,17,159,0,0,0,0,4,0
Zotu1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,39,0,0,0,0,0,0,10,111,13,0,0,0,0,0,0,0,0,0
Zotu1013,0,0,0,0,4,0,0,0,0,3,0,0,0,15,0,25,50,5,79,0,0,0,1,0,0,19,0,1,0,0,3,3,0,15,8,2,3,0,2,0,0,0,0,0,0,0,0,0
Zotu1014,0,7,17,0,11,12,0,0,0,87,10,69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu1015,0,0,0,0,0,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,23,21,1,0,0,0,0,0,0,0,0,0,0,0,51,9,21,0,0,0,0,0,0
Zotu1016,6,1,3,24,54,57,0,0,0,0,0,0,92,8,1,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1017,8,0,2,17,8,5,0,0,0,5,0,1,14,0,2,23,4,1,22,0,0,3,0,43,0,0,1,6,0,0,12,3,0,20,0,0,0,0,0,3,0,2,0,0,0,1,0,0
Zotu1018,0,0,5,0,8,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,29,0,0,0,0,0,0,0,0,0,0,2,0,15,73,23,0,0,0,0,0,0
Zotu102,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,5,0,175,1545,1512,0,0,0,0,0,0,0,0,0,0,0,0,3,59,75,0,0,0,0,0,0
Zotu1020,1,0,0,5,15,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0
Zotu1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,9,3,0,0,20,0,4,0,3,1,2,1,44,0,9,18,70,0
Zotu1023,0,5,6,19,34,25,0,0,1,4,0,5,0,9,0,9,11,0,12,0,0,1,4,0,0,0,0,0,0,0,13,16,0,8,22,1,0,0,0,0,0,0,7,0,0,6,14,0
Zotu1024,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,5,0,0,0,0,0,0,66,7,37,0,0,0,0,0,0,0,0,0
Zotu1025,6,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,87,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Zotu1026,0,2,0,4,6,4,0,0,0,0,0,0,12,0,3,17,0,0,13,0,0,0,0,0,0,0,0,0,0,0,21,0,0,59,0,0,0,0,0,0,0,0,2,0,0,31,31,1
Zotu1027,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,46,2,9,0,0,0,0,0,0,116,6,84,0,0,0,0,0,0,0,0,0
Zotu1028,51,2,0,0,0,0,0,0,0,14,0,7,0,0,0,2,0,0,8,0,0,87,20,29,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu1029,0,0,0,2,6,0,3,0,0,0,0,0,1,32,1,4,22,5,0,0,0,0,0,0,2,5,0,0,0,0,16,98,2,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu103,3,33,13,0,45,43,0,0,0,10,15,153,13,549,103,1,58,3,13,1,0,0,11,17,0,5,0,8,3,151,19,39,1,4,64,6,2,34,31,0,0,0,21,0,10,2,186,3
Zotu1030,5,0,1,0,0,0,0,0,0,30,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,10,0,0,0,0,0,0,66,8,36,0,0,0,0,0,0,0,0,0
